Time,kx,ky,Amp
0,18,10,1.71E-24
0,19,10,2.34E-23
0,20,10,6.15E-24
0,21,10,3.93E-23
0,22,10,3.78E-24
0,23,10,9.87E-24
0,24,10,5.09E-24
0,25,10,1.92E-23
0,26,10,6.69E-24
0,27,10,1.82E-23
0,28,10,8.48E-24
0,29,10,4.62E-23
0,30,10,1.38E-23
0,31,10,1.56E-22
0,0,11,1.45E-23
0,1,11,9.41E-22
0,2,11,1.89E-23
0,3,11,7.99E-23
0,4,11,4.75E-24
0,5,11,8.93E-23
0,6,11,1.62E-23
0,7,11,6.91E-23
0,8,11,9.57E-24
0,9,11,1.01E-22
0,10,11,1.10E-23
0,11,11,2.73E-25
0,12,11,2.44E-23
0,13,11,6.12E-23
0,14,11,3.28E-23
0,15,11,7.07E-23
0,16,11,4.40E-23
0,17,11,1.59E-22
0,18,11,2.81E-23
0,19,11,1.08E-22
0,20,11,5.63E-24
0,21,11,7.15E-23
0,22,11,4.45E-23
0,23,11,2.29E-22
0,24,11,3.15E-23
0,25,11,1.25E-22
0,26,11,1.42E-23
0,27,11,5.38E-23
0,28,11,2.09E-23
0,29,11,5.60E-23
0,30,11,2.18E-23
0,31,11,3.28E-22
0,0,12,7.66E-24
0,1,12,2.60E-22
0,2,12,1.92E-23
0,3,12,3.73E-23
0,4,12,1.47E-23
0,5,12,3.60E-23
0,6,12,1.16E-23
0,7,12,2.80E-23
0,8,12,9.72E-24
0,9,12,2.16E-23
0,10,12,1.09E-23
0,11,12,3.33E-23
0,12,12,6.46E-24
0,13,12,2.11E-23
0,14,12,5.27E-24
0,15,12,4.44E-23
0,16,12,1.31E-24
0,17,12,2.95E-23
0,18,12,9.69E-24
0,19,12,1.69E-23
0,20,12,5.79E-24
0,21,12,2.02E-23
0,22,12,7.26E-24
0,23,12,3.79E-23
0,24,12,6.98E-24
0,25,12,1.21E-23
0,26,12,1.18E-24
0,27,12,9.42E-24
0,28,12,6.64E-24
0,29,12,1.58E-23
0,30,12,1.03E-23
0,31,12,3.44E-23
0,0,13,5.88E-24
0,1,13,1.54E-22
0,2,13,3.42E-23
0,3,13,9.03E-23
0,4,13,2.41E-23
0,5,13,7.49E-23
0,6,13,1.42E-23
0,7,13,7.43E-23
0,8,13,9.03E-24
0,9,13,5.29E-23
0,10,13,3.33E-23
0,11,13,3.67E-23
0,12,13,2.68E-23
0,13,13,4.84E-23
0,14,13,1.87E-23
0,15,13,5.65E-23
0,16,13,3.59E-23
0,17,13,6.41E-23
0,18,13,1.57E-23
0,19,13,9.10E-24
0,20,13,9.97E-24
0,21,13,3.60E-23
0,22,13,1.99E-23
0,23,13,1.04E-22
0,24,13,2.76E-23
0,25,13,7.97E-23
0,26,13,1.32E-23
0,27,13,4.09E-23
0,28,13,2.52E-23
0,29,13,2.80E-23
0,30,13,1.40E-23
0,31,13,2.59E-22
0,0,14,4.67E-24
0,1,14,4.50E-22
0,2,14,2.31E-24
0,3,14,1.18E-23
0,4,14,3.13E-24
0,5,14,3.95E-23
0,6,14,8.03E-24
0,7,14,2.48E-23
0,8,14,2.25E-24
0,9,14,5.07E-23
0,10,14,8.52E-24
0,11,14,2.93E-23
0,12,14,9.87E-25
0,13,14,1.38E-23
0,14,14,1.27E-24
0,15,14,4.02E-23
0,16,14,5.84E-24
0,17,14,2.41E-23
0,18,14,5.77E-24
0,19,14,1.15E-23
0,20,14,8.26E-24
0,21,14,1.22E-23
0,22,14,5.57E-24
0,23,14,2.68E-23
0,24,14,1.21E-24
0,25,14,1.92E-23
0,26,14,7.91E-24
0,27,14,1.96E-23
0,28,14,7.72E-24
0,29,14,3.10E-23
0,30,14,7.08E-24
0,31,14,4.15E-23
0,0,15,1.41E-23
0,1,15,2.30E-21
0,2,15,2.35E-23
0,3,15,6.85E-23
0,4,15,4.76E-24
0,5,15,3.52E-23
0,6,15,2.59E-23
0,7,15,6.18E-23
0,8,15,2.22E-23
0,9,15,8.13E-23
0,10,15,1.31E-23
0,11,15,7.82E-23
0,12,15,3.05E-23
0,13,15,3.82E-23
0,14,15,3.90E-24
0,15,15,4.75E-23
0,16,15,2.60E-23
